微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
K6bMxEOAs,"转发理由:大名#肖战#  
原始用户: caihongtangswwrgv
转发内容: #肖战正能量艺人#  xz #肖战斗罗大陆# 爬爬们的思念如潮水般涌来那就再来回顾一下肖战用尽我的一切奔向你怼脸版吧如果这世界复杂 虚假 喧嚣我用尽我的一切奔向你呀就算很遥远啊 我一定会到达啊@X玖少年团肖战DAYTOY 肖战 xz xzgg  思肖觅战的微博视频  ",,无,无,False,无,无,2021-03-14 20:50,无,58,153,9
K6bMsp791,"转发理由:大名#肖战#  
原始用户: 颜究所bot
转发内容: #肖战# xz#肖战斗罗大陆# 肖战四次央视舞台合集2020岁岁又重阳《夜空中最亮的星》+经典咏流传《竹石》+《我的中国心》舞台&MV二合一版 + 心连心《我们都是追梦人》@X玖少年团肖战DAYTOY 星闻揭秘的微博视频   ",,无,无,False,无,无,2021-03-14 20:50,无,56,384,13
K6bFUnFEo,"转发理由:思念化为动力！专注炖鹅冲！  
原始用户: 菠萝菠萝快来碗里
转发内容: 今日有望5000冲一波  原图 ",,无,http://wx2.sinaimg.cn/large/6e917c32ly1gojp8r7dk1j21402eoalh.jpg,False,无,无,2021-03-14 20:34,无,56,21,9
K6bybpdbL,我是这首歌入坑的，嘿嘿。当时的第一印象就是，天使在唱歌。看这个节目之前，其实不怎么认识他，有一个大概印象，不说他名字我都想不起来那种，那时我不喜欢一切流量，对他的作品都是看不上那种（其实都没看完就直接偏见对待了）。他唱第一句，就直接沦陷喽。 #肖战正能量艺人#东方卫视我们的歌的微博视频                                 ,,无,无,True,无,无,2021-03-14 20:15,无,894,51,120
K6btQdGjE,"转发理由:#肖战斗罗大陆# //@1005号肥虾饲养部:#肖战斗罗大陆# 不惧风雨，携手同行，史兰客七怪必胜冲冲冲@X玖少年团肖战DAYTOY  
原始用户: 电视剧斗罗大陆
转发内容: 【魂力buff】#电视剧斗罗大陆# 团结一心，方可所向披靡。@X玖少年团肖战DAYTOY @吴宣仪_Betty @辰亦儒 @演员邱心志 @高泰宇GTY @刘美彤 @Liurn刘润南 @丁笑滢 @敖子逸 @张雯  [组图共3张] 原图 ",,无,"http://ww2.sinaimg.cn/large/007vJaBCly1gojoniokx5j356o3ggx77.jpg,http://ww1.sinaimg.cn/large/007vJaBCly1gojont95uoj356o3ggu1a.jpg,http://ww2.sinaimg.cn/large/007vJaBCly1gojon6v9vij356o3ggqvu.jpg",False,无,无,2021-03-14 20:04,无,37,172,20
K6bsvoVvz,看首页思念成河的状态，这世界上最大的笑话是萧蘸急了。不，他一点都不急，还对爬爬很放心，嘤嘤嘤。  ,,无,无,True,无,无,2021-03-14 20:01,无,893,15,111
K6bogcqFq,"转发理由:爬子速速支棱！实绩最重要！//@颜究所bot:炖鹅不要停  
原始用户: 家常便饭保哥
转发内容: 来，把所有虾爬子都给我叫过来，团建团建团建 ！播放量连续两天没眼看，虽然路人有陆续离场，但是每一个虾不能不动，还有两天就结局了，16号以后进入全V，形势更为严峻！全员进入团建模式，收到回复#肖战唐三#  ",,无,无,False,无,无,2021-03-14 19:50,无,50,91,5
K6b3jdqQb,积少成多专注当下#肖战斗罗大陆#  原图 ,,http://wx1.sinaimg.cn/large/006IJc3Dly1gojmwg5qn0j30mz0jvt9v.jpg,无,True,无,无,2021-03-14 18:58,无,129,18,57
K6aW5tLtm,"转发理由:动动手指  
原始用户: itsashou_
转发内容: #肖战[超话]#知道大家都很想他啦，不如一起签个寻艺吧  [组图共2张] 原图 ",,无,"http://ww2.sinaimg.cn/large/005RzzEAly1gojma40255j30qo0pnjsi.jpg,http://ww1.sinaimg.cn/large/005RzzEAly1gojma4acn3j30mr0j5mxx.jpg",False,无,无,2021-03-14 18:41,无,26,20,4
K6aTlgxVT,"转发理由:  
原始用户: 武魂殿叛徒
转发内容: #肖战斗罗大陆#  原图 ",,无,http://wx4.sinaimg.cn/large/006IJc3Dly1gojf1jbx0xg305t0864qp.gif,False,无,无,2021-03-14 18:34,无,43,10,18
K6a07rOhU,"转发理由:#肖战斗罗大陆# //@Pirary:#肖战演技高光时刻# xz #肖战唐三# 见转  
原始用户: 你该美丽中带着刺
转发内容: #肖战唐三# 肖战 唐三  大结局战损篇好痛啊，看得我流泪碎骨断骨，扼住咽喉，依然能嘶吼出“我会永远保护她”用生命兑现的诺言……奔涌而出的血，都在说着，宁愿战死，也不认命#肖战演技高光时刻##肖战我喜欢你# @X玖少年团肖战DAYTOY 白桃纪的微博视频   ",,无,无,False,无,无,2021-03-14 16:18,无,37,250,17
K69TP6a2C,"转发理由:#肖战正能量艺人# xz#肖战#  
原始用户: 手捧星光送你
转发内容: #肖战# xz#肖战正能量艺人# 等待是一个很美好的词，如少年等待努力开花结果。岁月不曾辜负任何一个付出过真心的人，努力终会有收获，一起成为更好的自己！@X玖少年团肖战DAYTOY  #fanstube# 手捧星光送你的微博视频  ",,无,无,False,无,无,2021-03-14 16:02,无,67,321,19
K69TqeC4E,"转发理由:大名#肖战正能量艺人# xz#肖战#  
原始用户: 你该美丽中带着刺
转发内容: #肖战##我喜欢肖战# 这个笑死我了第40秒！主持人：“哎！他真的很厉害哦，画的一笔勾勒出来的非常完整”背景音的霞姐：“那是～”哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈真果粒小赞真好看！@X玖少年团肖战DAYTOY  NARKISSOS1005·肖战的微博视频  ",,无,无,False,无,无,2021-03-14 16:01,无,50,442,38
K69M1Ep6D,"转发理由:#肖战陌森眼镜品牌代言人# //@沙鸥追剧中:zang沙滴妹坨，快快ke！#肖战陌森眼镜品牌代言人#  
原始用户: 陌森眼镜长沙松雅湖吾悦广场店
转发内容: 亲爱的战哥粉丝们：2021.03.14是一个特殊而又美好的日子，为感恩一路追随战哥的宝宝们[抱拳]，经与多方努力反馈总部，最终确定打卡地事项，终于争取到这难得的机会。2021年 03月14日上午10点05分 。希望粉丝宝宝们多多微博、微信朋友圈转发分享门店打卡地。让我们一起为战哥加油助力㊗福战哥2021事业蒸蒸日上！备注：积赞105，朋友圈转发时间一天以上，即可获得战哥限量版小周边一份[胜利] 长沙·陌森眼镜(吾悦广场店) 长沙·陌森眼镜(吾悦广场店)         [组图共10张]      原图                     ",,无,"http://ww4.sinaimg.cn/large/0081QCv5gy1goimqum4vhj32tc2404qq.jpg,http://ww3.sinaimg.cn/large/0081QCv5gy1goimqvcljfj31400u043l.jpg,http://ww1.sinaimg.cn/large/0081QCv5gy1goimqvsxbaj31400u00wq.jpg,http://ww2.sinaimg.cn/large/0081QCv5gy1goimqw889ej31400u00wm.jpg,http://ww4.sinaimg.cn/large/0081QCv5gy1goimqwpexmj31400u077e.jpg,http://ww3.sinaimg.cn/large/0081QCv5gy1goimqx82g0j31400u07ak.jpg,http://ww4.sinaimg.cn/large/0081QCv5gy1goimqxq641j31400u0te4.jpg,http://ww4.sinaimg.cn/large/0081QCv5gy1goimqy88a0j31400u0q73.jpg,http://ww1.sinaimg.cn/large/0081QCv5gy1goimqyr80kj30u01t07av.jpg,http://ww4.sinaimg.cn/large/0081QCv5gy1goimqznusaj30u01t04gq.jpg",False,无,无,2021-03-14 15:43,无,19,39,0
K69sii8le,我喜欢肖战肖战顺顺利利健健康康  ,,无,无,True,无,无,2021-03-14 14:55,无,35,2,2
K69pYq0fT,每人发一条原创夸他的吧自己发哈最近红粉数据缠绵得有点奇怪哦三月商务季  ,,无,无,True,无,无,2021-03-14 14:49,无,176,4,34
K69n4qv4g,"转发理由:第一次见到哎，这比例真的绝了。#肖战正能量艺人#  
原始用户: 姐姐追剧中
转发内容: #肖战# 我又翻到这个视频了被撩之后的笑真的太可爱了，肖战真的好帅帅翻天啦啊哈哈哈哈 cr.dy 见logo#肖战斗罗大陆# xz#我喜欢肖战# 姐姐追剧中的微博视频  ",,无,无,False,无,无,2021-03-14 14:42,无,39,49,4
K69kLsJsY,"转发理由:科普//@阿贤呀1005:手把手教学！  
原始用户: 李美美诶
转发内容: 关于艾...漫...红....粉..【科普】：简单来说就是：带大名明显的夸。   举例：肖战好帅@X玖少年团肖战DAYTOY 【就可以，不要整那些花里胡哨的诗句，那个太隐晦不算】关于大家的各种疑问：1️⃣一个ID不管一天夸多少条都只算一个红粉。⭕️【但是】如果一天之内，你发的红粉微博条数比负面微博条数少，则你算h粉如果一天之内，你发的红粉微博条数比负面微博条数多，则你算红粉⭕️【所以】还是要多发夸的，一天一条不够2️⃣如果微博内容篇幅过长的话系统有可能会抓取不到，所以说要在第一句夸。【只有这一种说法。】如果要投票的话，在投票前夸即可3️⃣公开社交平台抓取：微博 贴吧 豆瓣 抓取dy ks 头条 vx 等，没有抓取4️⃣有没有广场体不重要一般来说，只要能被人看到就是算的【没广场体的可以发到副超：肖战最好的你】5️⃣卧槽xxx 好帅，为黑粉【原因，卧槽】⭕️活粉≠红粉活粉＝ 红粉+黑粉+中性粉红粉＝带大名光明正大夸的【要明显的夸，隐晦不算】6️⃣评论转发和原创都会算作红粉。⭕️【但是】评论会对雷同内容有一点点影响，转发原创不会有任何影响⭕️【所以】还是建议尽可能原创和转发直接夸7️⃣要艾特/带话题嘛？理论上讲，带不带都可以被抓取。【但是】顺手带艾特和话题，顺便一次性做红粉以外的sj，也是很棒的8️⃣没有这种说法：必须要在当天的第一条款，以及并没有说一定要在前五个字夸。@X玖少年团肖战DAYTOY #肖战#         [组图共9张]      原图                     ",,无,"http://ww2.sinaimg.cn/large/005Kj5TKly1gojf21eixej30u00vutuk.jpg,http://ww1.sinaimg.cn/large/005Kj5TKly1gojf22cst0j30u00m1aoy.jpg,http://ww1.sinaimg.cn/large/005Kj5TKly1gojf22qc3pj30u00zfaxs.jpg,http://ww1.sinaimg.cn/large/005Kj5TKly1gojf20j8sfj30u009vjyd.jpg,http://ww2.sinaimg.cn/large/005Kj5TKly1gojf23001bj30u00jz16g.jpg,http://ww3.sinaimg.cn/large/005Kj5TKly1gojf29ywsij30u00hmapb.jpg,http://ww3.sinaimg.cn/large/005Kj5TKly1gojfexd1plj30u00k77gd.jpg,http://ww1.sinaimg.cn/large/005Kj5TKly1gojgp792iej30u019hdz3.jpg,http://ww2.sinaimg.cn/large/005Kj5TKly1gojgzkxqchj30u00h9k22.jpg",False,无,无,2021-03-14 14:36,无,23,193,7
K69jEBGi5,肖战超帅！只爱你么么哒！！  ,,无,无,True,无,无,2021-03-14 14:33,无,27,1,2
K69gS0AUC,#肖战斗罗大陆#  原图 ,,http://wx4.sinaimg.cn/large/006IJc3Dly1gojf1jbx0xg305t0864qp.gif,无,True,无,无,2021-03-14 14:26,无,62,21,19
K695N0yqx,"转发理由:不错子！#肖战# //@藤椒柠檬鲸:爱了爱了，被蒸煮带飞真爽//@磕颜日志:喜欢！//@野渡梦雪:🐎#肖战#  
原始用户: PeachyZan
转发内容: #肖战# 安利图再再再次更新！40亿和IFPI  [组图共4张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007Y7POagy1goj21446raj31ck1wwnpe.jpg,http://ww2.sinaimg.cn/large/007Y7POagy1goj21frr6hj31ck1wwhdv.jpg,http://ww3.sinaimg.cn/large/007Y7POagy1goj20x5wnkj31ck1wwb2h.jpg,http://ww3.sinaimg.cn/large/007Y7POagy1goj21jkswoj31ck1wwu0x.jpg",False,无,无,2021-03-14 13:59,无,36,57,1
K68WJydXU,重点是，虾爬子买东西、晒单，必须写“肖战粉丝小飞侠”，一个字都不能少，“小飞侠”三个字一定要写，代表唯粉，不然会被不要脸的偷去谈商务。  ,,无,无,True,无,无,2021-03-14 13:37,无,1895,278,172
K68IdvdVb,"转发理由:#肖战斗罗大陆# //@Nana_1005:最后的胜利一定属于史兰客学院！唐三冲呀！！  
原始用户: 电视剧斗罗大陆
转发内容: 【斗罗剧苑】#电视剧斗罗大陆# 史兰客挺进决赛，即将面对强敌！大师展开赛前补课，平日的刻苦训练必将不会白费。现在七怪要做的事，就是拿回属于自己的胜利史兰客挺进决赛，大师展开赛前补课  ",,无,无,False,无,无,2021-03-14 13:01,无,36,207,23
K68G1i0Y8,"转发理由:#肖战斗罗大陆# //@一菜二白:#肖战唐三# xz#肖战斗罗大陆# //@MorningGlory_肖战资源博:#肖战斗罗大陆# #肖战唐三# 侦探三哥上线，快来和三哥一起寻找真相吧@X玖少年团肖战DAYTOY  
原始用户: 电视剧斗罗大陆
转发内容: 【斗罗剧苑】#电视剧斗罗大陆##唐三怀疑鬼斗罗# 胡列娜的话忽然提醒了唐三，武魂殿内鬼一事疑点重重，并不简单，幕后黑手恐怕另有其人这一次，他们能否成功找到真相呢？@X玖少年团肖战DAYTOY @吴宣仪_Betty @高泰宇GTY @黄灿灿acan幕后黑手另有其人？唐三怀疑鬼斗罗  ",,无,无,False,无,无,2021-03-14 12:56,无,26,89,1
K68Be01xb,"转发理由:有本事自己去开疆拓土破圈，别惦记你虾爹了，所有人都不把我们当人、踩着立人设、肆意践踏的时候，只有一个人把我们当人。  
原始用户: -下午我在旧居烧信
转发内容: 我看你们内娱这些批是完全不讲道理的，壁垒潇占不是微博政治正确吗，虾爬子壁垒几个内娱人士帮你们完成双向壁垒怎么就开始如丧考妣惊叫连连了？  ",,无,无,False,无,无,2021-03-14 12:44,无,503,91,33
K68sqeAYW,十万年虾兽魂环是战战一个人的谁也不给哦耶#肖战#  武魂殿叛徒的微博视频  ,,无,无,True,"http://f.video.weibocdn.com/002z9Ze5gx07L4Z5zcDB010412007mUx0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1616327461&ssig=oOGUcqHh3i&KID=unistore,video",无,2021-03-14 12:22,无,2151,294,142
K68rjCWJB,"转发理由:下跌是很正常的，对比其他剧，小破锣还算坚挺的了。离330只有十几天了，努努力积少成多，每一天都很重要哇！新剧不来，斗罗不停！  
原始用户: 携暖_
转发内容: 斗罗昨天的播放量四千万多一点，不知道你们有没有意识到危机#肖战唐三# 今天同比又比昨天少，跌破三千万不是梦  [组图共3张] 原图 ",,无,"http://ww3.sinaimg.cn/large/006cnH6aly1goja9cqkm7j30u01s6dkh.jpg,http://ww2.sinaimg.cn/large/006cnH6aly1goja9d1ts2j30u01s6do6.jpg,http://ww3.sinaimg.cn/large/006cnH6aly1goja9dhykwj30u01s6qaz.jpg",False,无,无,2021-03-14 12:19,无,176,75,26
K68k2bLOX,我不能理解所谓的出圈，他已经不是爱豆，不需要那些博主帮他出圈，微博这地方还有不知道他是谁的吗？他现在需要的是打开微博之外的国民度，比如抖上就有很多人不认识他。而这种是需要作品和曝光去达成的，如果有善意的博主发他，转评赞即可，不用关注。蘸丝真的已经养大很多号了。去年特殊情况，爬子喜欢去找认同，但以后都不一样了。反正经历去年，我对微博上的一切都冷漠，没有人比他更惨，对我来说这里是个追星app。爬子的流量，对那些人来说，才是出圈。最近是抓鬼的好时机，善用取关功能哦。                                 ,,无,无,True,无,无,2021-03-14 12:01,无,15184,2457,635
K62Zlpotf,"转发理由://@秃噜皮皮酱:感谢@HeronPrestonOfficial 分享，肖战 @X玖少年团肖战DAYTOY 身穿#Heron Preston#缎面反光衬衫，太帅气啦#肖战冰球运动推广大使#  
原始用户: HeronPrestonOfficial
转发内容: #肖战[超话]# @X玖少年团肖战DAYTOY 身穿#Heron Preston#缎面反光衬衫参与《冬梦之约》节目录制，叠穿增加层次感，释放青春源活力。#肖战冰球运动推广大使#  [组图共2张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007Ggo4Yly1goh9g72gfcj326r3a4hdx.jpg,http://ww4.sinaimg.cn/large/007Ggo4Yly1gohcuzoagmj30l80wf0uk.jpg",False,无,无,2021-03-13 22:27,无,46,133,6
K62LebJZf,"转发理由:哇才看到#肖战# //@MorningGlory_肖战资源博:肖战哥哥和小朋友们#肖战#  
原始用户: 乐维文化LEVAY
转发内容: #肖战献唱冬奥# #肖战和小朋友合唱# 乐维素质偶像王雨朵、陈一宁与肖战哥哥和当期所有出演的小朋友的合照来啦！乐维·中国愿陪伴你们在艺术的道路上一直璀璨！  原图 ",,无,http://wx3.sinaimg.cn/large/006W14vyly1godubukmq9j319r0u07wi.jpg,False,无,无,2021-03-13 21:52,无,83,42,4
K62wBn4Wi,我昨天把我们的歌肖战的片段看了一遍，那是我入坑的起点。  ,,无,无,True,无,无,2021-03-13 21:16,无,236,2,60
K62rGEuDS,"转发理由:认真地说，肖战，我想让他们都羡慕你。  
原始用户: -下午我在旧居烧信
转发内容: 这场他的每一个表情我都不敢细看也不愿错过  原图 ",,无,http://wx1.sinaimg.cn/large/69aa9008ly1goiksytj99j21iw52ox6p.jpg,False,无,无,2021-03-13 21:04,无,184,166,15
K62oNneqI,"转发理由:🙏🙏🙏//@偷凉_:🙏🙏🙏//@偷凉_:斗罗需要大家🙏  
原始用户: 菠萝菠萝快来碗里
转发内容: #我们坐在高高的虾壳上听老虾讲过去的故事[超话]#播放量简单分析，今日同比昨日下降较为明显而且今天是周六，按照目前的趋势今日可能只有4000+ 明后天可能持续走低，非V结束可能不够43亿，距离V结束已经有16天了，最后的时间粉丝是主力，看预告的时间还有3天，好好珍惜。  ",,无,无,False,无,无,2021-03-13 20:57,无,49,137,6
K62isjEuS,"转发理由://@苦逼晏菲回魂中:那是我老公//@潮野月光:不用报身份证了，我们知道演你老公的帅哥是谁//@精铁锻造://@Siniros:野妻心碎中好嫉妒  
原始用户: 小杨同志开心最最重要
转发内容: 笑死 （戏客的专访）  原图 ",,无,http://wx2.sinaimg.cn/large/006QEGM4ly1goijgb4u9tj30jg06itb5.jpg,False,无,无,2021-03-13 20:41,无,36,51,10
K628tjCYQ,"转发理由:  
原始用户: 你该美丽中带着刺
转发内容: #肖战唐三# 宝们 咱们的思念可以落到实处  原图 ",,无,http://wx4.sinaimg.cn/large/007aIu3Uly1goijg27gncj30k00mh0v4.jpg,False,无,无,2021-03-13 20:16,无,33,118,6
K628hunFa,"转发理由:#肖战蒙牛乳业品牌代言人# //@这里有一枚仙子:不用花钱就能拿亲签？？？#肖战蒙牛乳业品牌代言人#  
原始用户: 牛蒙蒙官方微博
转发内容: 是的，蒙蒙终于站起来了！明天上午10:05牛蒙蒙小程序精彩活动再次来袭，你们关心的问题让蒙蒙一一解答。1. 活动只在牛蒙蒙小程序举行，请不要迷路哦；2. 活动会一直持续到3月20日，不用担心第一时间没参加会拿不到亲签（程序员哥哥表示压力很大）；3. 最重要的一点，这一次不用花钱就有机会赢战哥亲签，想买牛奶的盆友们没想到吧 具体的活动规则明天揭晓，蒙蒙保证真的很好玩˜那么，提前祝大家玩得开心              原图                     ",,无,http://wx2.sinaimg.cn/large/00809LQJly1goiio9cefxj30u01hcb29.jpg,False,无,无,2021-03-13 20:16,无,15,42,1
K6287FUcn,"转发理由:#肖战斗罗大陆# //@深茶Daisy:天赋和努力一样重要，成为更好的自己吧#肖战唐三#  
原始用户: 电视剧斗罗大陆
转发内容: 【魂力buff】#电视剧斗罗大陆# 天赋和努力同样重要，只要用心终能遇见更强大的自己 @X玖少年团肖战DAYTOY @吴宣仪_Betty @演員邱心志 @钟镇涛 @朱珠ZhuZhu @黄灿灿acan  [组图共6张] 原图 ",,无,"http://ww1.sinaimg.cn/large/007vJaBCly1goij0ckcyzj356o3ggx71.jpg,http://ww1.sinaimg.cn/large/007vJaBCly1goij0494dhj356o3gg1la.jpg,http://ww3.sinaimg.cn/large/007vJaBCly1goij0tte72j356o3ggb2v.jpg,http://ww2.sinaimg.cn/large/007vJaBCly1goij13s98fj356o3ggu19.jpg,http://ww3.sinaimg.cn/large/007vJaBCly1goij1hkascj356o3gg7wy.jpg,http://ww3.sinaimg.cn/large/007vJaBCly1goij1w5vo5j356o3gg4r8.jpg",False,无,无,2021-03-13 20:16,无,11,25,0
K61YN8POd,"转发理由:“被放弃，我可以理解，不能给别人造成麻烦。”  
原始用户: 沙鸥追剧中
转发内容: 宝  [组图共2张] 原图 ",,无,"http://ww4.sinaimg.cn/large/007Dvbj0gy1goif7cv23gj30qo0vdmz5.jpg,http://ww3.sinaimg.cn/large/007Dvbj0gy1goif7dkp0vj30u00u0gpi.jpg",False,无,无,2021-03-13 19:53,无,286,911,61
K61SO1It3,全力以赴多一点都是赚到  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/006IJc3Dly1goiig5jzt7j30d706r0sw.jpg,http://ww1.sinaimg.cn/large/006IJc3Dly1goiif4cxfij30mz0ijt9t.jpg",无,True,无,无,2021-03-13 19:38,无,179,18,50
K61ygFAzQ,"转发理由:阿战 你未来一定会越来越好的 //@肖战_bot:一定一定会穿过漫长又昏沉的隧道#肖战余生请多指教#  
原始用户: 橘子港·
转发内容: 肖战20缩影｜ 成长向放弃规则 放纵去爱 没有人能够阻挡你“我不转弯”#肖战陌森眼镜品牌代言人# ｜#肖战# @X玖少年团肖战DAYTOY . 橘子港·的微博视频  ",,无,无,False,无,无,2021-03-13 18:47,无,38,39,3
K619Jcugw,"转发理由:评论笑死我了  
原始用户: 肖战工作室
转发内容: 三哥@X玖少年团肖战DAYTOY 竖版剧照奉上，换壁纸啦 #肖战[超话]#  [组图共6张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007fzS16ly1goieqxwixrj32bc3h0x6v.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goieq9kh5ij32bc3h0kjr.jpg,http://ww1.sinaimg.cn/large/007fzS16ly1goierlgzqxj32bc3h01l3.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goieqie6jij32bc3h0x6v.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goierw5wn5j32bc3h07wn.jpg,http://ww3.sinaimg.cn/large/007fzS16ly1goieqqedasj32bc3h04qv.jpg",False,无,无,2021-03-13 17:47,无,24,8,6
K617pBXlm,"转发理由:谢邀，我觉得工作室出的剧照赢了，好帅！#肖战斗罗大陆#  
原始用户: 肖战工作室
转发内容: 三哥@X玖少年团肖战DAYTOY 竖版剧照奉上，换壁纸啦 #肖战[超话]#  [组图共6张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007fzS16ly1goieqxwixrj32bc3h0x6v.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goieq9kh5ij32bc3h0kjr.jpg,http://ww1.sinaimg.cn/large/007fzS16ly1goierlgzqxj32bc3h01l3.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goieqie6jij32bc3h0x6v.jpg,http://ww4.sinaimg.cn/large/007fzS16ly1goierw5wn5j32bc3h07wn.jpg,http://ww3.sinaimg.cn/large/007fzS16ly1goieqqedasj32bc3h04qv.jpg",False,无,无,2021-03-13 17:41,无,36,15,2
K610CdDPR,"转发理由:#肖战斗罗大陆# //@深茶Daisy:可靠的三哥让人信任#肖战斗罗大陆#  
原始用户: 电视剧斗罗大陆
转发内容: 【魂力buff】#电视剧斗罗大陆# 炽火学苑特地找到史兰客七怪，告诉他们迄今为止所有失败的战队都莫名消失了。为了战队的安全，火舞将自己的武魂本质留给唐三，将希望寄托在了他的身上。被淘汰学苑全员失踪？火舞将武魂本质留给唐三  ",,无,无,False,无,无,2021-03-13 17:24,无,17,48,2
K60XPmTtI,"转发理由:哈哈哈哈哈哈哈哈哈哈哈  
原始用户: 小能豆子rainny
转发内容: #日常见肖战# #肖战# 我再也不要做舔狗了，我们好聚好散吧！以后你走你的独木桥…肖战我喜欢你！喜欢你！喜欢你！表白三次就没事了吧～【音频来源于抖，禁二传二改】@X玖少年团肖战DAYTOY 小能豆子rainny的微博视频  ",,无,无,False,无,无,2021-03-13 17:18,无,19,61,5
K5ZujmOx7,"转发理由:拜托努力一点🙏//@我妻草灯不是灯草:17号前冲刺，30号就停止统计了，这个作品只有这几天的机会了。今年要上很多大古偶，这才第一季度。而且这是他赖以生存的实绩，影响接剧的，拜托了每个人都开开设备吧，不麻烦的，就差你一个。  
原始用户: 福灵剂飞来
转发内容: #肖战[超话]#  年底腾丨讯白丨皮书会统计一年以来所有播出剧的成绩。所有剧成绩统计都是截止到非会员完结14天。今年还有很多剧要播出，竞争会非常激烈。到时候总播放量和集均都会一目了然的放在一起对比。一大堆剧尚未播出，而我们的成绩就将截止在3.30，非会员16号是更新最后一集，非会员更新结束会全集入v，届时每日播放量按照以往全集入v会直接掉一位数的规律肯定会大幅下跌。1.在【月底3.30成绩统计结束】之前每天都一定要看#肖战斗罗大陆# ，要多看！不到月底不能放松！2.在非会员更新结束3.17(全集入v播放量增长将会非常缓慢)之前抓住机会，尤其是13 14 15 16这四天，冲刺一把。              原图                     ",,无,http://wx3.sinaimg.cn/large/0070LSMzly1goi3jjrh3nj30sb0djgoi.jpg,False,无,无,2021-03-13 13:32,无,70,173,16
K5ZosuTFf,是这样的，有一部分观众还停留在免费剧集，所以16号之前每天可以有几千万的播放量，但是免费剧集结束，这部分观众就走了。然后就是零零散散的观众看了，到那时候每天几百万播放量都很正常。狗令那么能打，每天也只能有一千左右。所以，不要预设太高，先尽力。重点还是要珍惜每一天，今天浪费一点，累计起来就蛮多的了。加油啊宝子们。                                 ,,无,无,True,无,无,2021-03-13 13:18,无,479,11,47
K5ZjCevnA,"转发理由:#肖战斗罗大陆# //@手捧星光送你:可靠，让人信任的三哥#肖战斗罗大陆#  
原始用户: 电视剧斗罗大陆
转发内容: 【魂力buff】#电视剧斗罗大陆# 炽火学苑特地找到史兰客七怪，告诉他们迄今为止所有失败的战队都莫名消失了。为了战队的安全，火舞将自己的武魂本质留给唐三，将希望寄托在了他的身上。被淘汰学苑全员失踪？火舞将武魂本质留给唐三  ",,无,无,False,无,无,2021-03-13 13:06,无,20,67,4
K5Zgfo621,"转发理由:👉//@他会有更广阔的天地:全网硬要按头是gq发的 是想让粉丝干嘛呢  大家检查下自己发出的评论嗷 别着了小人的道//@心碎却着迷:明明不是某杂志发的，营销号异口同声统一说是gq，很难不让人阴谋论，大家稳住嗷  
原始用户: 心碎却着迷
转发内容: 找到源头了，就一个野鸡公众号发的，根本不是GQ里面还带大名内涵了好多明星大家就事论事哈  ",,无,无,False,无,无,2021-03-13 12:57,无,36,47,1
K5ZdQ7tTy,"转发理由:每天都要努力//@偷凉_:呜呜呜昨天才六千多万//@mangogogo9797:实绩会永远跟着他。 必须一直冲到月底。斗罗目前的数据，在年终总结并不稳  
原始用户: 福灵剂飞来
转发内容: #肖战[超话]#  年底腾丨讯白丨皮书会统计一年以来所有播出剧的成绩。所有剧成绩统计都是截止到非会员完结14天。今年还有很多剧要播出，竞争会非常激烈。到时候总播放量和集均都会一目了然的放在一起对比。一大堆剧尚未播出，而我们的成绩就将截止在3.30，非会员16号是更新最后一集，非会员更新结束会全集入v，届时每日播放量按照以往全集入v会直接掉一位数的规律肯定会大幅下跌。1.在【月底3.30成绩统计结束】之前每天都一定要看#肖战斗罗大陆# ，要多看！不到月底不能放松！2.在非会员更新结束3.17(全集入v播放量增长将会非常缓慢)之前抓住机会，尤其是13 14 15 16这四天，冲刺一把。              原图                     ",,无,http://wx3.sinaimg.cn/large/0070LSMzly1goi3jjrh3nj30sb0djgoi.jpg,False,无,无,2021-03-13 12:51,无,23,29,0
K5ZdpyWz0,"转发理由://@你该美丽中带着刺:来看看，辟谣。有意思啊牛鬼蛇神一套流程走完了  
原始用户: 新酒记
转发内容: 辟谣：造谣图的源头找到了，和黑子营销号造谣的杂志没有关系，是一个不知名gzh，找到源头就不要被带节奏了。（这种号挑事的很多不要去理论，没用）  [组图共2张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007SpvV5ly1goi5jj3yu4j30qo0eh756.jpg,http://ww2.sinaimg.cn/large/007SpvV5ly1goi5k5jzatj30qo1aj0xj.jpg",False,无,无,2021-03-13 12:50,无,17,40,1
